,MESH_ID,PTN_2015
228,513871823,3.9891
229,513871824,8.9964
230,513871831,153.6479
231,513871832,2.9872
232,513871833,117.6626
233,513871834,151.487
234,513871843,11.9891
235,513871851,135.1235
236,513871853,252.9744
237,513871901,94.7717
238,513871902,71.8102
239,513871903,45.9293
240,513871904,56.8533
241,513871911,65.7652
242,513871912,44.8012
243,513871913,173.5298
244,513871914,154.5924
245,513871921,32.8958
246,513871923,18.9565
247,513871924,8.98
248,513871931,1.0035
249,513871932,6.9957
250,513871933,4.9983
251,513871934,21.8589
252,513871941,74.7648
253,513871943,12.0067
254,513871951,180.0866
255,513871953,268.1348
256,513871954,61.0488
257,513876354,54.0
258,513876363,24.0
259,513876371,159.0
260,513876372,13.0
261,513876373,13.0
262,513876374,1.0
263,513876383,53.0
264,513876384,191.0
265,513876452,47.0
266,513876454,23.0
267,513876461,8.0
268,513876481,7.0
269,513876482,13.0
270,513876491,29.0
271,513876492,31.0
272,513876494,24.0
273,513876542,66.0
274,513876544,94.0
275,513876643,2.0
276,513876644,1.0
277,513876651,2.0
278,513876653,50.0
279,513876654,18.0
280,513876662,2.0
281,513876681,6.0
282,513876722,22.0
283,513876751,31.0
284,513876752,18.0
285,513876753,54.0
286,513876761,22.0
287,513876764,83.0
288,513876771,16.0
289,513876772,15.0
290,513876773,64.0
291,513876774,45.0
292,513876781,46.0
293,513876783,213.0
294,513876784,90.0
295,513876791,6.0
296,513876792,123.0
297,513876793,48.0
298,513876794,145.0
299,513876832,18.0
300,513876833,48.0
301,513876841,37.0
302,513876842,35.0
303,513876851,63.0
304,513876852,57.0
305,513876853,43.0
306,513876854,12.0
307,513876861,43.0
308,513876862,50.0
309,513876863,38.0
310,513876864,4.0
311,513876871,21.0
312,513876872,3.0
313,513876874,7.0
314,513876881,118.0
315,513876882,158.0
316,513876883,45.0
317,513876884,95.0
318,513876891,111.0
319,513876892,7.0
320,513876893,3.0
321,513876931,147.0
322,513876932,2.0
323,513876954,42.0
324,513876963,12.0
325,513876973,26.0
326,513876974,8.0
327,513876982,168.0
328,513876983,17.0
329,513876984,200.0
330,513876991,18.0
331,513876993,51.0
332,513877403,67.0
333,513877404,6.0
334,513877501,213.0
335,513877502,105.0
336,513877504,10.0
337,513877513,9.0
338,513877602,178.0
339,513877603,24.0
340,513877604,198.0
341,513877611,300.0
342,513877612,30.0
343,513877613,309.0
344,513877614,29.0
345,513877622,29.9997
346,513877624,27.0516
347,513877633,74.1776
348,513877701,96.0
349,513877702,97.0
350,513877703,270.0
351,513877704,87.0
352,513877711,33.0
353,513877713,15.0
354,513877714,5.0056
355,513877722,56.1309
356,513877723,2.0051
357,513877724,55.0847
358,513877731,45.057
359,513877802,26.0
360,513877804,32.0
361,513877811,26.0
362,513877812,11.9974
363,513877813,144.0
364,513877822,99.9998
365,513877824,14.9988
366,513877831,73.9665
367,513877833,150.8963
368,513877834,51.0394
369,513877843,5.9916
370,513877871,10.997
371,513877873,328.3202
372,513877874,77.0453
373,513877902,48.0
374,513877904,33.0
375,513877911,102.0
376,513877913,44.0
377,513877914,287.0
378,513877922,1.0089
379,513877923,53.0597
380,513877924,25.9799
381,513877931,323.0083
382,513877932,244.8104
383,513877933,206.8981
384,513877934,148.9539
385,513877941,60.0239
386,513877942,18.0166
387,513877943,214.0807
388,513877944,16.0538
389,513877962,85.0494
390,513877964,24.988
391,513877971,238.0072
392,513877972,5.0159
393,513877973,280.0467
394,513877974,109.0851
395,513877981,16.0562
396,513877983,39.0594
397,523703193,16.1745
398,523703194,2.0296
399,523703291,165.2875
400,523703292,388.8493
401,523703293,11.1618
402,523703294,257.3712
403,523703391,71.889
404,523703392,328.8679
405,523703393,13.1791
406,523703394,149.0411
407,523703492,41.4669
408,523703493,6.0926
409,523703494,70.9341
410,523703591,9.1452
411,523703592,89.1635
412,523703593,384.5565
413,523703594,537.5892
414,523703684,1178.4392
415,523703691,2007.9315
416,523703692,1447.0821
417,523703693,1460.1044
418,523703694,505.5644
419,523703782,1619.7832
420,523703784,1163.3427
421,523703791,585.2882
422,523703792,643.0712
423,523703793,164.4231
424,523703794,11.1707
425,523703882,98.2751
426,523703891,96.329
427,523703892,63.9222
428,523703893,5.0619
429,523703894,106.5303
430,523703984,64.8377
431,523703991,21.278
432,523703992,21.2211
